|FR| A LA CARTE 02 HD	00`05alive00`05b147368.m3u8
|FR| A LA CARTE 01 HD	00`05alive00`05b147369.m3u8
|FR| A LA CARTE 03 HD	00`05alive00`05b147370.m3u8
|FR| A LA CARTE 04 HD	00`05alive00`05b147371.m3u8
|FR| A LA CARTE 05 HD	00`05alive00`05b147372.m3u8
|FR| A LA CARTE 06 HD	00`05alive00`05b147367.m3u8
|FR| A LA CARTE 07 HD	00`05alive00`05b147366.m3u8
|FR| A LA CARTE 08 HD	00`05alive00`05b147365.m3u8
|FR| A LA CARTE 09 HD	00`05alive00`05b147364.m3u8
|FR| A LA CARTE 10 HD	00`05alive00`05b222448.m3u8
|FR| A LA CARTE 11 HD	00`05alive00`05b222449.m3u8
|FR| A LA CARTE 12 HD	00`05alive00`05b222450.m3u8
|FR| A LA CARTE 13 HD	00`05alive00`05b222451.m3u8
|FR| A LA CARTE 14 HD	00`05alive00`05b222452.m3u8
|FR| A LA CARTE 15 HD	00`05alive00`05b222453.m3u8
|FR| A LA CARTE 16 HD	00`05alive00`05b222454.m3u8
|FR| A LA CARTE 17 HD	00`05alive00`05b222455.m3u8
|FR| A LA CARTE 18 HD	00`05alive00`05b222456.m3u8
|FR| A LA CARTE 19 HD	00`05alive00`05b222457.m3u8
|FR| RAKUTEN TV FILMS ACTION	00`05alive00`05b194219.m3u8
|FR| RAKUTEN COMEDY MOVIES FRANCE	00`05alive00`05b194220.m3u8
|FR| RAKUTEN TV FILMS DRAMES	00`05alive00`05b194221.m3u8
|FR| RAKUTEN SPOTLIGHT FRANCE	00`05alive00`05b194222.m3u8
|FR| RAKUTEN TV TOP FILMS	00`05alive00`05b194223.m3u8
|FR| RAKUTEN TV FILMS FRANCAIS	00`05alive00`05b194224.m3u8
|FR| RAKUTEN TV FILMS THRILLER	00`05alive00`05b194225.m3u8
-----| INFOS FRANCE FHD |-----	00`05alive00`05b126749.m3u8
|FR| LA CHAINE METEO FHD	00`05alive00`05b126750.m3u8
|FR| CNEWS FHD	00`05alive00`05b126751.m3u8
|FR| FRANCE INFO FHD	00`05alive00`05b126752.m3u8
|FR| BFM TV FHD	00`05alive00`05b126753.m3u8
|FR| BFM BUSINESS FHD	00`05alive00`05b126754.m3u8
|FR| BFM PARIS FHD	00`05alive00`05b126755.m3u8
|FR| LCI FHD	00`05alive00`05b126756.m3u8
|FR| LCP FHD	00`05alive00`05b126757.m3u8
|FR| EURONEWS FHD	00`05alive00`05b126758.m3u8
|FR| TV5 MONDE FHD	00`05alive00`05b126760.m3u8
|FR| FRANCE24 FHD	00`05alive00`05b126761.m3u8
|FR| I24 NEWS FHD	00`05alive00`05b126762.m3u8
|FR| ROUGE TV FHD	00`05alive00`05b126763.m3u8
-----| RMC SPORT FHD |-----	00`05alive00`05b126917.m3u8
|FR| RMC SPORT 1 FHD	00`05alive00`05b126919.m3u8
|FR| RMC SPORT 2 FHD	00`05alive00`05b126920.m3u8
|FR| RMC SPORT LIVE 3 FHD	00`05alive00`05b126921.m3u8
|FR| RMC SPORT LIVE 4 FHD	00`05alive00`05b126922.m3u8
|FR| RMC SPORT LIVE 5 FHD	00`05alive00`05b126923.m3u8
|FR| RMC SPORT LIVE 6 FHD	00`05alive00`05b126924.m3u8
|FR| RMC SPORT LIVE 7 FHD	00`05alive00`05b126925.m3u8
|FR| RMC SPORT LIVE 8 FHD	00`05alive00`05b126926.m3u8
