KBS Kids TV	`1https://en.gdplayertv.to/live-tv/kbs-kids/?embed=1
Kids Station TV	`1https://en.gdplayertv.to/live-tv/kids-station/?embed=1
Marvel HQ	`1https://en.gdplayertv.to/live-tv/UCxwitsUVNzwS5XBSC5UQV8Q/?embed=1
Nat Geo Kids	`1https://en.gdplayertv.to/live-tv/UCXVCgDuD_QCkI7gTKU7-tpg/?embed=1
Nickelodeon em Português	`1https://en.gdplayertv.to/live-tv/UCMryAHWeLf3TxDyDxSWs4AQ/?embed=1
Nickelodeon en Español	`1https://en.gdplayertv.to/live-tv/UCNeq3Obf4zOv5rhORI8Vz5g/?embed=1
Nicktoons	`1https://en.gdplayertv.to/live-tv/UC74bcC7aGRNz4KoRpJsJNEw/?embed=1
Osratouna tv - قناة أسرتنا	`1https://en.gdplayertv.to/live-tv/UCWIdqSQekeGmUWlSFeCiEnA/?embed=1
Peacock jr	`1https://en.gdplayertv.to/live-tv/UCKtfozhWfwvXUTnR7PV3t5g/?embed=1
Super Toons TV - Dessins Animés en Français	`1https://en.gdplayertv.to/live-tv/UCE6LObtIIyUymAejzHJ73GA/?embed=1
ZooMoo TV	`1https://en.gdplayertv.to/live-tv/zoomoo/?embed=1
Cartoon Network TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/cartoon-network-my/?embed=1
Cartoonito TV Asia	`1https://en.gdplayertv.to/live-tv/cartoonito-tv/?embed=1
Nickelodeon TV Malaysia (GEO Blocked)	`1https://en.gdplayertv.to/live-tv/nickelodeon-my/?embed=1
Bioskop Indonesia TV	`1https://en.gdplayertv.to/live-tv/bioskop-indonesia/?embed=1
Flik TV	`1https://en.gdplayertv.to/live-tv/flik-tv/?embed=1
Citra Drama TV	`1https://en.gdplayertv.to/live-tv/citra-drama-tv/?embed=1
IMC (Indonesia Movie Channels) TV	`1https://en.gdplayertv.to/live-tv/imc/?embed=1
CCM (Celestial Classic Movies) TV	`1https://en.gdplayertv.to/live-tv/celestial-classic-movies/?embed=1
Celestial Movies TV	`1https://en.gdplayertv.to/live-tv/celestial-movies/?embed=1
Cinema World TV	`1https://en.gdplayertv.to/live-tv/cinema-world/?embed=1
Cinemachi Action TV	`1https://en.gdplayertv.to/live-tv/cinemachi-action/?embed=1
Cinemachi Max TV	`1https://en.gdplayertv.to/live-tv/cinemachi-max/?embed=1
Cinemachi TV	`1https://en.gdplayertv.to/live-tv/cinemachi/?embed=1
Cinemachi Xtra TV	`1https://en.gdplayertv.to/live-tv/cinemachi-xtra/?embed=1
Cinemax TV	`1https://en.gdplayertv.to/live-tv/cinemax/?embed=1
DreamWorks TV	`1https://en.gdplayertv.to/live-tv/dreamworks/?embed=1
Galaxy Premium TV	`1https://en.gdplayertv.to/live-tv/galaxy-premium/?embed=1
Galaxy TV	`1https://en.gdplayertv.to/live-tv/galaxy/?embed=1
HBO Family TV	`1https://en.gdplayertv.to/live-tv/hbo-family/?embed=1
HBO Hits TV	`1https://en.gdplayertv.to/live-tv/hbo-hits/?embed=1
HBO Signature TV	`1https://en.gdplayertv.to/live-tv/hbo-signature/?embed=1
HBO TV	`1https://en.gdplayertv.to/live-tv/hbo/?embed=1
Hits Movies TV	`1https://en.gdplayertv.to/live-tv/hits-movies/?embed=1
Hits TV	`1https://en.gdplayertv.to/live-tv/hits/?embed=1
KIX TV	`1https://en.gdplayertv.to/live-tv/kix/?embed=1
Muse Indonesia	`1https://en.gdplayertv.to/live-tv/UCxxnxya_32jcKj4yN1_kD7A/?embed=1
My Cinema Asia TV	`1https://en.gdplayertv.to/live-tv/my-cinema-asia/?embed=1
My Cinema Europe TV	`1https://en.gdplayertv.to/live-tv/my-cinema-europe/?embed=1
My Cinema TV	`1https://en.gdplayertv.to/live-tv/my-cinema/?embed=1
My Family Channel TV	`1https://en.gdplayertv.to/live-tv/my-family-channel/?embed=1
Paramount Network TV	`1https://en.gdplayertv.to/live-tv/paramount-network/?embed=1
Rock Action TV	`1https://en.gdplayertv.to/live-tv/rock-action/?embed=1
Thrill TV	`1https://en.gdplayertv.to/live-tv/thrill/?embed=1
tvN Movies Indonesia	`1https://en.gdplayertv.to/live-tv/tvn-movies/?embed=1
BBC Earth TV	`1https://en.gdplayertv.to/live-tv/bbc-earth/?embed=1
Crime + Investigation TV	`1https://en.gdplayertv.to/live-tv/crime-investigation/?embed=1
Discovery Channel TV	`1https://en.gdplayertv.to/live-tv/discovery/?embed=1
English Club TV	`1https://en.gdplayertv.to/live-tv/ectv/?embed=1
History TV	`1https://en.gdplayertv.to/live-tv/history/?embed=1
Lingua TV	`1https://en.gdplayertv.to/live-tv/lingua-channel/?embed=1
Love Nature TV	`1https://en.gdplayertv.to/live-tv/love-nature-tv/?embed=1
Nat Geo TV	`1https://en.gdplayertv.to/live-tv/nat-geo/?embed=1
Nat Geo Wild TV	`1https://en.gdplayertv.to/live-tv/nat-geo-wild/?embed=1
BBC World News TV	`1https://en.gdplayertv.to/live-tv/bbc-world-news/?embed=1
Channel NewsAsia (CNA) TV	`1https://en.gdplayertv.to/live-tv/cna/?embed=1
CNBC Asia TV	`1https://en.gdplayertv.to/live-tv/cnbc/?embed=1
CNBC Indonesia TV	`1https://en.gdplayertv.to/live-tv/cnbc-indonesia/?embed=1
CNN Indonesia TV	`1https://en.gdplayertv.to/live-tv/cnn-indonesia/?embed=1
DW TV Indonesia	`1https://en.gdplayertv.to/live-tv/dw/?embed=1
FOX News TV	`1https://en.gdplayertv.to/live-tv/fox-news/?embed=1
France 24 English TV	`1https://en.gdplayertv.to/live-tv/france-24/?embed=1
Jakarta Globe News TV	`1https://en.gdplayertv.to/live-tv/jakarta-globe-news/?embed=1
Russia Today News English TV	`1https://en.gdplayertv.to/live-tv/rt-news/?embed=1
SEA Today TV	`1https://en.gdplayertv.to/live-tv/sea-today/?embed=1
tvOne	`1https://en.gdplayertv.to/live-tv/tvone/?embed=1
TVRI	`1https://en.gdplayertv.to/live-tv/tvri/?embed=1
TVRI World	`1https://en.gdplayertv.to/live-tv/tvri-world/?embed=1
Anhui TV	`1https://en.gdplayertv.to/live-tv/anhui-tv/?embed=1
Arirang TV	`1https://en.gdplayertv.to/live-tv/arirang-tv/?embed=1
Asian Food Network TV (AFN)	`1https://en.gdplayertv.to/live-tv/afn-asian-food-network/?embed=1
AXN TV	`1https://en.gdplayertv.to/live-tv/axn/?embed=1
Disney XD TV	`1https://en.gdplayertv.to/live-tv/disney-xd/?embed=1
Dragon TV International	`1https://en.gdplayertv.to/live-tv/shanghai-dragon-tv/?embed=1
Eat & Go TV	`1https://en.gdplayertv.to/live-tv/eat-and-go/?embed=1
Ficom Channel TV	`1https://en.gdplayertv.to/live-tv/ficom/?embed=1
Fight Sports TV	`1https://en.gdplayertv.to/live-tv/fight-sports-tv/?embed=1
FMN TV	`1https://en.gdplayertv.to/live-tv/fmn/?embed=1
GEM TV Indonesia	`1https://en.gdplayertv.to/live-tv/gem-tv/?embed=1
Global Trekker TV	`1https://en.gdplayertv.to/live-tv/global-trekker/?embed=1
Hits NOW TV	`1https://en.gdplayertv.to/live-tv/hits-now/?embed=1
Hunan TV	`1https://en.gdplayertv.to/live-tv/hunan-tv/?embed=1
