Click again if The Purple Screen shows up!	^--
Polsat Jim Jam PL	00`b007298/index.m3u8
POLSAT NEWS 2 HD PL	00`b007297/index.m3u8
Polsat Play HD PL	00`b006087/index.m3u8
Polsat Rodzina PL	00`b007301/index.m3u8
POLSAT SPORT EXTRA HD PL	00`b007310/index.m3u8
Polsat Sport FHD PL	00`b007296/index.m3u8
POLSAT SPORT FIGHT HD PL	00`b007311/index.m3u8
POLSAT SPORT NEWS HD PL	00`b007303/index.m3u8
POLSAT SPORT PREMIUM 1 PL	00`b007304/index.m3u8
POLSAT SPORT PREMIUM 2 PL	00`b007305/index.m3u8
POLSAT SPORT PREMIUM 3 PPV PL	00`b007306/index.m3u8
POLSAT SPORT PREMIUM 4 PPV PL	00`b007307/index.m3u8
POLSAT SPORT PREMIUM 5 PPV PL	00`b007308/index.m3u8
POLSAT SPORT PREMIUM 6 PPV PL	00`b007309/index.m3u8
Sportklub HD PL	00`b002521/index.m3u8
Stars TV HD PL	00`b0019168/index.m3u8
SUPER POLSAT HD PL	00`b006109/index.m3u8
SUPER POLSAT HD PL	00`b007312/index.m3u8
TV4 HD PL	00`b007290/index.m3u8
TV6 FHD PL	00`b007289/index.m3u8
TVN 24 FHD PL	00`b007288/index.m3u8
TVN 7 HD PL	00`b007279/index.m3u8
TVN Fabula FHD PL	00`b007287/index.m3u8
TVN FHD PL	00`b007286/index.m3u8
TVN Style PL	00`b007285/index.m3u8
TVP 1 FHD PL	00`b007292/index.m3u8
TVP 2 HD PL	00`b007293/index.m3u8
TVP 3 Warszawa PL	00`b007284/index.m3u8
TVP Historia PL	00`b007283/index.m3u8
TVP Info	00`b00961/index.m3u8
TVP Polonia PL	00`b007282/index.m3u8
TVP Seriale PL	00`b007281/index.m3u8
TVP Sport FHD PL	00`b007280/index.m3u8
TVP Sport HD PL	00`b002520/index.m3u8
Vox Music TV PL	00`b0019171/index.m3u8
